frame,t,x_robot,y_robot,z_robot,x,y,z,x_filtered,y_filtered,z_filtered
28110,23242.5,2.761905,2.02264,0.985377,-0.0119847307692308,0.0426009942307692,-0.0125038292307692,-0.0111574999999999,0.0408675000000001,-0.00302775
28111,23245,2.76157,2.02353,0.985829,-0.0120025,0.0416564333333333,-0.0137491333333333,-0.0111499999999998,0.0420400000000001,-0.00462099999999999
28112,23247.5,2.761185,2.0246725,0.986186,-0.0116566777777778,0.0397266444444444,-0.01529415,-0.0111624999999999,0.0415925000000001,-0.00632574999999999
28113,23250,2.7608,2.025815,0.986543,-0.0113108555555556,0.0377968555555556,-0.0168391666666667,-0.0111749999999999,0.0411450000000002,-0.0080305
28114,23252.5,2.760415,2.0269575,0.9869,-0.0109650333333333,0.0358670666666667,-0.0183841833333333,-0.0111875,0.0406975000000003,-0.00973525
28115,23255,2.76003,2.0281,0.987257,-0.0106192111111111,0.0339372777777778,-0.0199292,-0.0112000000000001,0.0402500000000003,-0.01144
28116,23257.5,2.7595975,2.02942,0.9874795,-0.00924404052083333,0.0342271520833333,-0.0219744,-0.0105050000000001,0.0398125000000003,-0.01329575
28117,23260,2.759165,2.03074,0.987702,-0.00786886993055556,0.0345170263888889,-0.0240196,-0.0098100000000001,0.0393750000000002,-0.0151515
28118,23262.5,2.7587325,2.03206,0.9879245,-0.00649369934027778,0.0348069006944444,-0.0260648,-0.0091150000000001,0.0389375000000001,-0.01700725
28119,23265,2.7583,2.03338,0.988147,-0.00511852875,0.035096775,-0.02811,-0.00842000000000009,0.0385,-0.018863
28120,23267.5,2.7578225,2.0346975,0.9881575,-0.00433119697916667,0.0353993895833333,-0.0297683125,-0.0079300000000001,0.0383249999999999,-0.02050475
28121,23270,2.757345,2.036015,0.988168,-0.00354386520833333,0.0357020041666667,-0.031426625,-0.00744000000000011,0.0381499999999999,-0.0221465
28122,23272.5,2.7568675,2.0373325,0.9881785,-0.0027565334375,0.03600461875,-0.0330849375,-0.00695000000000012,0.0379749999999999,-0.02378825
28123,23275,2.75639,2.03865,0.988189,-0.00196920166666667,0.0363072333333333,-0.03474325,-0.00646000000000013,0.0377999999999998,-0.02543
28124,23277.5,2.7559375,2.0399,0.987931,-0.0009141175,0.036718309375,-0.037142484375,-0.00536250000000005,0.0377824999999998,-0.0271592499999999
28125,23280,2.755485,2.04115,0.987673,0.000140966666666667,0.0371293854166667,-0.03954171875,-0.00426499999999996,0.0377649999999998,-0.0288884999999999
28126,23282.5,2.7550325,2.0424,0.987415,0.00119605083333333,0.0375404614583333,-0.041940953125,-0.00316749999999988,0.0377474999999998,-0.0306177499999999
28127,23285,2.75458,2.04365,0.987157,0.002251135,0.0379515375,-0.0443401875,-0.00206999999999979,0.0377299999999998,-0.0323469999999999
28128,23287.5,2.7541975,2.0448425,0.9866405,0.00199261625,0.0385114185096154,-0.046924515625,-0.00146249999999981,0.0381299999999999,-0.0346029999999999
28129,23290,2.753815,2.046035,0.986124,0.0017340975,0.0390712995192308,-0.04950884375,-0.000854999999999828,0.03853,-0.036859
28130,23292.5,2.7534325,2.0472275,0.9856075,0.00147557875,0.0396311805288462,-0.052093171875,-0.000247499999999845,0.03893,-0.039115
28131,23295,2.75305,2.04842,0.985091,0.00121706,0.0401910615384615,-0.0546775,0.000360000000000138,0.0393300000000001,-0.041371
28132,23297.5,2.7528275,2.0495725,0.984296,0.00118941425,0.0406125961538462,-0.05577128125,0.00067000000000017,0.0396575,-0.04338725
28133,23300,2.752605,2.050725,0.983501,0.0011617685,0.0410341307692308,-0.0568650625,0.000980000000000203,0.0399849999999999,-0.0454035
28134,23302.5,2.7523825,2.0518775,0.982706,0.00113412275,0.0414556653846154,-0.05795884375,0.00129000000000024,0.0403124999999999,-0.04741975
28135,23305,2.75216,2.05303,0.981911,0.001106477,0.0418772,-0.059052625,0.00160000000000027,0.0406399999999998,-0.0494359999999999
28136,23307.5,2.7521075,2.0542075,0.98081625,0.00206146084090909,0.0432484772727273,-0.0601454414772727,0.0016750000000002,0.0415174999999999,-0.0509112499999999
28137,23310,2.752055,2.055385,0.9797215,0.00301644468181818,0.0446197545454545,-0.0612382579545455,0.00175000000000014,0.042395,-0.0523864999999999
28138,23312.5,2.7520025,2.0565625,0.97862675,0.00397142852272727,0.0459910318181818,-0.0623310744318182,0.00182500000000008,0.0432725,-0.05386175
28139,23315,2.75195,2.05774,0.977532,0.00492641236363636,0.0473623090909091,-0.0634238909090909,0.00190000000000001,0.0441500000000001,-0.055337
28140,23317.5,2.751975,2.059015,0.97612475,0.00657156311888112,0.0460384702797203,-0.0645684527972028,0.00295250000000002,0.0448375000000001,-0.05674525
28141,23320,2.752,2.06029,0.9747175,0.00821671387412587,0.0447146314685315,-0.0657130146853147,0.00400500000000004,0.045525,-0.0581535
28142,23322.5,2.752025,2.061565,0.97331025,0.00986186462937063,0.0433907926573427,-0.0668575765734266,0.00505750000000005,0.0462125,-0.05956175
28143,23325,2.75205,2.06284,0.971903,0.0115070153846154,0.0420669538461538,-0.0680021384615384,0.00611000000000006,0.0468999999999999,-0.06097
28144,23327.5,2.7520775,2.06429,0.970247,0.0111648615384615,0.0372421653846154,-0.0683962538461538,0.00677000000000005,0.0449175000000001,-0.06206075
28145,23330,2.752105,2.06574,0.968591,0.0108227076923077,0.0324173769230769,-0.0687903692307692,0.00743000000000005,0.0429350000000002,-0.0631515
28146,23332.5,2.7521325,2.06719,0.966935,0.0104805538461538,0.0275925884615385,-0.0691844846153846,0.00809000000000004,0.0409525000000003,-0.06424225
